alpha,beta,gamma
0.243053928938247,0.474017681420551,1.5
0.184388887322965,0.399591060370066,1.5
0.361334235093706,0.576129753543195,1.5
1.88767148568848,1.04522434981636,1.5
0.187165792701683,0.54580507226261,1.5
0.01,0.1,1.5
0.01,0.173780082874938,1.5
0.01,0.575439937337157,1.5
0.0151356124843621,0.1,1.5
0.0346736850452532,0.158489319246111,1.5
0.0691830970918936,0.229086765276777,1.5
0.112201845430196,0.524807460249773,1.5
0.147910838816821,0.831763771102671,1.5
0.194984459975805,0.363078054770101,1.5
0.275422870333817,0.575439937337157,1.5
0.363078054770101,0.478630092322638,1.5
0.416869383470336,0.954992586021436,1.5
0.478630092322638,2.08929613085404,1.5
0.512861383991365,0.630957344480193,1.5
0.549540873857625,0.91201083935591,1.5
0.549540873857625,1.31825673855641,1.5
0.630957344480193,0.602559586074358,1.5
0.776247116628692,0.72443596007499,1.5
0.891250938133745,0.870963589956081,1.5
1.02329299228075,0.72443596007499,1.5
1.09647819614319,1.14815362149688,1.5
1.09647819614319,1.38038426460288,1.5
1.09647819614319,2.18776162394955,1.5
1.44543977074593,1,1.5
1.54881661891248,0.831763771102671,1.5
1.54881661891248,1.81970085860998,1.5
1.77827941003892,1.20226443461741,1.5
2.04173794466953,1.38038426460288,1.5
2.04173794466953,1.58489319246111,1.5
2.69153480392692,1.0471285480509,1.5
2.69153480392692,1.31825673855641,1.5
2.88403150312661,2.63026799189538,1.5
3.31131121482591,1.25892541179417,1.5
3.31131121482591,2.08929613085404,1.5
3.54813389233575,1.09647819614319,1.5
3.54813389233575,1.58489319246111,1.5
4.07380277804113,1.25892541179417,1.5
4.07380277804113,1.44543977074593,1.5
4.36515832240166,1.90546071796325,1.5
5.37031796370253,1.31825673855641,1.5
5.75439937337157,1.73780082874938,1.5
5.75439937337157,2.29086765276777,1.5
6.16595001861482,1.31825673855641,1.5
6.16595001861482,1.51356124843621,1.5
6.16595001861482,2.88403150312661,1.5
7.58577575029184,2.08929613085404,1.5
7.58577575029184,5.01187233627272,1.5
8.12830516164099,1.73780082874938,1.5
8.7096358995608,1.58489319246111,1.5
1,1,1.75
2,1,1.75
0.243053928938247,0.474017681420551,1.75
0.184388887322965,0.399591060370066,1.75
0.361334235093706,0.576129753543195,1.75
1.88767148568848,1.04522434981636,1.75
0.187165792701683,0.54580507226261,1.75
0.01,0.1,1.75
0.01,0.173780082874938,1.75
0.01,0.575439937337157,1.75
0.0151356124843621,0.1,1.75
0.0346736850452532,0.158489319246111,1.75
0.0691830970918936,0.229086765276777,1.75
0.112201845430196,0.524807460249773,1.75
0.147910838816821,0.831763771102671,1.75
0.194984459975805,0.363078054770101,1.75
0.275422870333817,0.575439937337157,1.75
0.363078054770101,0.478630092322638,1.75
0.416869383470336,0.954992586021436,1.75
0.478630092322638,2.08929613085404,1.75
0.512861383991365,0.630957344480193,1.75
0.549540873857625,0.91201083935591,1.75
0.549540873857625,1.31825673855641,1.75
0.630957344480193,0.602559586074358,1.75
0.776247116628692,0.72443596007499,1.75
0.891250938133745,0.870963589956081,1.75
1.02329299228075,0.72443596007499,1.75
1.09647819614319,1.14815362149688,1.75
1.09647819614319,1.38038426460288,1.75
1.09647819614319,2.18776162394955,1.75
1.44543977074593,1,1.75
1.54881661891248,0.831763771102671,1.75
1.54881661891248,1.81970085860998,1.75
1.77827941003892,1.20226443461741,1.75
2.04173794466953,1.38038426460288,1.75
2.04173794466953,1.58489319246111,1.75
2.69153480392692,1.0471285480509,1.75
2.69153480392692,1.31825673855641,1.75
2.88403150312661,2.63026799189538,1.75
3.31131121482591,1.25892541179417,1.75
3.31131121482591,2.08929613085404,1.75
3.54813389233575,1.09647819614319,1.75
3.54813389233575,1.58489319246111,1.75
4.07380277804113,1.25892541179417,1.75
4.07380277804113,1.44543977074593,1.75
4.36515832240166,1.90546071796325,1.75
5.37031796370253,1.31825673855641,1.75
5.75439937337157,1.73780082874938,1.75
5.75439937337157,2.29086765276777,1.75
6.16595001861482,1.31825673855641,1.75
6.16595001861482,1.51356124843621,1.75
6.16595001861482,2.88403150312661,1.75
7.58577575029184,2.08929613085404,1.75
7.58577575029184,5.01187233627272,1.75
8.12830516164099,1.73780082874938,1.75
8.7096358995608,1.58489319246111,1.75
