alpha,beta,gamma
1,1,1
2,1,1
0.243053928938247,0.474017681420551,1
0.184388887322965,0.399591060370066,1
0.361334235093706,0.576129753543195,1
1.88767148568848,1.04522434981636,1
0.187165792701683,0.54580507226261,1
0.01,0.1,1
0.01,0.173780082874938,1
0.01,0.575439937337157,1
0.0151356124843621,0.1,1
0.0346736850452532,0.158489319246111,1
0.0691830970918936,0.229086765276777,1
0.112201845430196,0.524807460249773,1
0.147910838816821,0.831763771102671,1
0.194984459975805,0.363078054770101,1
0.275422870333817,0.575439937337157,1
0.363078054770101,0.478630092322638,1
0.416869383470336,0.954992586021436,1
0.478630092322638,2.08929613085404,1
0.512861383991365,0.630957344480193,1
0.549540873857625,0.91201083935591,1
0.549540873857625,1.31825673855641,1
0.630957344480193,0.602559586074358,1
0.776247116628692,0.72443596007499,1
0.891250938133745,0.870963589956081,1
1.02329299228075,0.72443596007499,1
1.09647819614319,1.14815362149688,1
1.09647819614319,1.38038426460288,1
1.09647819614319,2.18776162394955,1
1.44543977074593,1,1
1.54881661891248,0.831763771102671,1
1.54881661891248,1.81970085860998,1
1.77827941003892,1.20226443461741,1
2.04173794466953,1.38038426460288,1
2.04173794466953,1.58489319246111,1
2.69153480392692,1.0471285480509,1
2.69153480392692,1.31825673855641,1
2.88403150312661,2.63026799189538,1
3.31131121482591,1.25892541179417,1
3.31131121482591,2.08929613085404,1
3.54813389233575,1.09647819614319,1
3.54813389233575,1.58489319246111,1
4.07380277804113,1.25892541179417,1
4.07380277804113,1.44543977074593,1
4.36515832240166,1.90546071796325,1
5.37031796370253,1.31825673855641,1
5.75439937337157,1.73780082874938,1
5.75439937337157,2.29086765276777,1
6.16595001861482,1.31825673855641,1
6.16595001861482,1.51356124843621,1
6.16595001861482,2.88403150312661,1
7.58577575029184,2.08929613085404,1
7.58577575029184,5.01187233627272,1
8.12830516164099,1.73780082874938,1
8.7096358995608,1.58489319246111,1
1,1,1.25
2,1,1.25
0.243053928938247,0.474017681420551,1.25
0.184388887322965,0.399591060370066,1.25
0.361334235093706,0.576129753543195,1.25
1.88767148568848,1.04522434981636,1.25
0.187165792701683,0.54580507226261,1.25
0.01,0.1,1.25
0.01,0.173780082874938,1.25
0.01,0.575439937337157,1.25
0.0151356124843621,0.1,1.25
0.0346736850452532,0.158489319246111,1.25
0.0691830970918936,0.229086765276777,1.25
0.112201845430196,0.524807460249773,1.25
0.147910838816821,0.831763771102671,1.25
0.194984459975805,0.363078054770101,1.25
0.275422870333817,0.575439937337157,1.25
0.363078054770101,0.478630092322638,1.25
0.416869383470336,0.954992586021436,1.25
0.478630092322638,2.08929613085404,1.25
0.512861383991365,0.630957344480193,1.25
0.549540873857625,0.91201083935591,1.25
0.549540873857625,1.31825673855641,1.25
0.630957344480193,0.602559586074358,1.25
0.776247116628692,0.72443596007499,1.25
0.891250938133745,0.870963589956081,1.25
1.02329299228075,0.72443596007499,1.25
1.09647819614319,1.14815362149688,1.25
1.09647819614319,1.38038426460288,1.25
1.09647819614319,2.18776162394955,1.25
1.44543977074593,1,1.25
1.54881661891248,0.831763771102671,1.25
1.54881661891248,1.81970085860998,1.25
1.77827941003892,1.20226443461741,1.25
2.04173794466953,1.38038426460288,1.25
2.04173794466953,1.58489319246111,1.25
2.69153480392692,1.0471285480509,1.25
2.69153480392692,1.31825673855641,1.25
2.88403150312661,2.63026799189538,1.25
3.31131121482591,1.25892541179417,1.25
3.31131121482591,2.08929613085404,1.25
3.54813389233575,1.09647819614319,1.25
3.54813389233575,1.58489319246111,1.25
4.07380277804113,1.25892541179417,1.25
4.07380277804113,1.44543977074593,1.25
4.36515832240166,1.90546071796325,1.25
5.37031796370253,1.31825673855641,1.25
5.75439937337157,1.73780082874938,1.25
5.75439937337157,2.29086765276777,1.25
6.16595001861482,1.31825673855641,1.25
6.16595001861482,1.51356124843621,1.25
6.16595001861482,2.88403150312661,1.25
7.58577575029184,2.08929613085404,1.25
7.58577575029184,5.01187233627272,1.25
8.12830516164099,1.73780082874938,1.25
8.7096358995608,1.58489319246111,1.25
1,1,1.5
2,1,1.5
